# amp, acierto
0,1
0,1
0,1
0,0
6,0
8,1
10,1
0,1
12,1
24,1
24,1
0,1
0,1
12,1
0,1
6,0
10,1
0,1
0,1
8,1
0,1
12,1
0,1
8,0
6,0
10,0
0,0
0,1
0,1
24,1
0,1
24,1
0,1
8,0
0,0
0,1
10,0
12,1
0,0
6,0
0,1
10,0
8,1
6,0
0,1
0,1
12,1
0,1
0,1
24,0
6,0
0,1
10,0
0,1
12,1
0,1
24,1
0,1
8,0
0,1
0,1
6,0
0,0
24,0
8,1
10,0
0,1
12,1
0,1
0,1
24,1
0,1
0,1
12,1
8,0
6,0
0,1
10,0
0,1
0,1
0,1
8,0
12,1
0,1
10,0
0,1
6,0
0,1
24,1
0,1
0,1
24,1
12,1
0,1
10,0
0,1
8,0
0,0
0,1
